Thickness # 2 in nm vs. Position
X (cm)	Y (cm)	Z
0.000000	3.800000	489.456787
1.900000	2.850000	403.187103
0.950000	2.850000	430.372406
-0.000000	2.850000	451.991028
-0.950000	2.850000	467.730713
-1.900000	2.850000	486.625336
-2.850000	1.900000	446.808838
-1.900000	1.900000	439.967346
-0.950000	1.900000	430.220459
0.000000	1.900000	414.363525
0.950000	1.900000	393.781128
1.900000	1.900000	367.048767
2.850000	1.900000	340.846130
2.850000	0.950000	309.611450
1.900000	0.950000	331.201111
0.950000	0.950000	352.130524
-0.000000	0.950000	370.686737
-0.950000	0.950000	385.665802
-1.900000	0.950000	396.632477
-2.850000	0.950000	401.913300
-3.800000	0.000000	355.166046
-2.850000	0.000000	356.783508
-1.900000	0.000000	353.205383
-0.950000	0.000000	344.046021
0.000000	0.000000	331.341370
0.950000	0.000000	315.705078
1.900000	0.000000	298.108704
2.850000	0.000000	278.898621
3.800000	0.000000	258.852661
2.850000	-0.950000	250.524490
1.900000	-0.950000	266.560455
0.950000	-0.950000	282.020721
-0.000000	-0.950000	295.636078
-0.950000	-0.950000	306.435150
-1.900000	-0.950000	313.765472
-2.850000	-0.950000	317.106934
-2.850000	-1.900000	280.072601
-1.900000	-1.900000	278.290344
-0.950000	-1.900000	273.111481
0.000000	-1.900000	264.485992
0.950000	-1.900000	253.386566
1.900000	-1.900000	240.817261
2.850000	-1.900000	227.991455
1.900000	-2.850000	216.861206
0.950000	-2.850000	228.066940
-0.000000	-2.850000	237.743622
-0.950000	-2.850000	244.892212
-1.900000	-2.850000	248.961090
0.000000	-3.800000	209.988495
