Thickness # 2 in nm vs. Position
X (cm)	Y (cm)	Z
0.000000	0.000000	14.002630
0.500000	-0.866025	13.974831
-1.000000	0.000000	13.937012
0.500000	0.866025	13.859352
2.000000	0.000000	13.802330
1.000000	1.732051	13.758000
-1.000000	1.732051	13.721954
-2.000000	0.000000	13.719760
-1.000000	-1.732051	13.679794
1.000000	-1.732051	13.567200
2.819078	-1.026060	13.515701
1.500000	-2.598076	13.482396
-0.520945	-2.954423	13.458307
-2.298133	-1.928363	13.459894
-3.000000	0.000000	13.374738
-2.298133	1.928363	13.284060
-0.520945	2.954423	13.229701
1.500000	2.598076	13.178747
2.819078	1.026060	13.154904
4.000000	0.000000	13.100413
3.541824	1.858893	13.067381
2.272259	3.291935	13.012238
0.482147	3.970835	12.943871
-1.418420	3.740065	12.902692
-2.994043	2.652491	12.873525
-3.883767	0.957263	12.746503
-3.883767	-0.957263	13.121973
-2.994043	-2.652491	12.575268
-1.418420	-3.740065	12.389113
0.482147	-3.970835	12.371426
2.272259	-3.291935	12.269045
3.541824	-1.858893	12.257398
