X Coordinates,Y Coordinates,FWHM
-45.0,0.0,0.3026553957950421
-30.0,-30.0,0.3101293809098492
-30.0,-15.0,0.3173389738856423
-30.0,0.0,0.3180964987959629
-30.0,15.0,0.30526165315835524
-30.0,30.0,0.30730861296446904
-15.0,-45.0,0.32876602544039024
-15.0,-30.0,0.30992446671388224
-15.0,-15.0,0.30585803433381803
-15.0,0.0,0.3036404675857122
-15.0,15.0,0.3124305621888697
-15.0,30.0,0.31572183767515316
0.0,-45.0,0.3115282824666923
0.0,-30.0,0.3127700469249537
0.0,-15.0,0.3090489781021864
0.0,0.0,0.3079504533627229
0.0,15.0,0.3121447165036003
0.0,30.0,0.31178396978740197
15.0,-45.0,0.33717877244110084
15.0,-30.0,0.31101303017954923
15.0,-15.0,0.3175521633386426
15.0,0.0,0.31534853172809574
15.0,15.0,0.32209939913161695
15.0,30.0,0.3286906658857974
30.0,-30.0,0.33445490787995724
30.0,-15.0,0.32979403445566713
30.0,0.0,0.3274178039817035
30.0,15.0,0.32376969946503653
