file,2theta_deg,intensity,FWHM_deg,prom_log10
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,20.67,567.459,0.120000000000001,0.03156796504753351
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,20.84,573.469,0.0799999999999983,0.03543431835735887
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,22.07,649.038,0.26000000000000156,0.04260840076544292
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,22.15,645.933,0.26000000000000156,0.041917218769962225
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,23.06,520.191,0.3000000000000007,0.030348416161083094
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,23.51,509.572,0.1999999999999993,0.03583799580887838
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,23.82,502.736,0.13000000000000256,0.03190844472130827
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,24.47,498.004,0.15000000000000213,0.03225436345296456
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,24.7,479.476,0.14000000000000057,0.031383661528100334
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,24.72,483.824,0.14000000000000057,0.031497805379905444
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,24.98,479.791,0.08999999999999986,0.032707794493802116
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,25.42,468.662,0.10000000000000142,0.031088155161621
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,25.7,469.633,0.17999999999999972,0.0326073631643176
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,26.2,456.492,0.1999999999999993,0.0302575167446803
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,26.51,457.505,0.21999999999999886,0.03473054072531262
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,27.08,452.881,0.14999999999999858,0.037343009098898525
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,27.49,444.786,0.0799999999999983,0.03559007272052732
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,27.78,439.936,0.08000000000000185,0.03175271749743725
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,28.21,430.89,0.10000000000000142,0.03274290141967831
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,28.34,434.953,0.07000000000000028,0.03275962362356029
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,28.44,435.587,0.08999999999999986,0.03278182837543421
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,28.62,433.632,0.16000000000000014,0.03580854705276015
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,28.69,423.799,0.16000000000000014,0.030564858671317127
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,28.87,427.665,0.08000000000000185,0.040121066017029194
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,29.2,423.085,0.11999999999999744,0.035280075232746434
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,29.42,407.991,0.23000000000000043,0.030461869079897595
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,29.58,427.261,0.07000000000000028,0.03866643993335739
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,29.96,422.185,0.17999999999999972,0.03194477808915444
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,30.05,421.348,0.17999999999999972,0.03255516256885409
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,30.16,425.135,0.08999999999999986,0.034858514747169486
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,31.42,2282.256,0.19000000000000128,0.16655321359192207
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,32.43,382.547,0.10999999999999943,0.045279539647433864
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,32.78,384.732,0.07000000000000028,0.047720340946777726
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,33.23,358.558,0.09000000000000341,0.04125551011564062
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,33.45,343.924,0.20000000000000284,0.0338850380077777
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,33.69,338.462,0.21999999999999886,0.03651613864525581
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,33.84,343.801,0.0800000000000054,0.035201935365676604
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,33.97,336.814,0.17999999999999972,0.04218614614548912
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,34.03,333.035,0.17999999999999972,0.0413793791816381
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,34.17,326.443,0.0799999999999983,0.034373370192176136
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,34.55,326.889,0.0799999999999983,0.03263138917678348
BTO_Mapping_Theta2Theta_09-17-2025_001_01_-15-000_-45-000.xy,34.72,325.169,0.1600000000000037,0.03126371040026051
