X Coordinates,Y Coordinates,FWHM
-39.126,-8.316,0.3390205204477263
-39.126,8.316,0.37255112147325886
-32.361,-23.511,0.34834539453575775
-32.361,23.511,0.3859886040433013
-29.344,-6.237,0.37550095778481196
-29.344,6.237,0.3896657270946313
-24.271,-17.634,0.38280185026151176
-24.271,17.634,0.3865001616105825
-20.0,-34.641,0.388516339750234
-20.0,34.641,0.3648976136634959
-19.563,-4.158,0.3920088171233548
-19.563,4.158,0.3970628676637272
-16.18,-11.756,0.38842142987171047
-16.18,11.756,0.3870190034162406
-15.0,-25.981,0.3968669437430787
-15.0,25.981,0.3781022696231315
-10.0,-17.321,0.39219444353241506
-10.0,17.321,0.38052412277764425
-9.781,-2.079,0.3743102922674292
-9.781,2.079,0.3884620989227908
-8.09,-5.878,0.3895528829288738
-8.09,5.878,0.3825110914485947
-5.0,-8.66,0.382583619251061
-5.0,8.66,0.3846871476428082
-4.181,-39.781,0.3911876777137181
-4.181,39.781,0.37586389987424773
-3.136,-29.836,0.39135664191511926
-3.136,29.836,0.37671778093891284
-2.091,-19.89,0.3780600892739731
-2.091,19.89,0.37631514492397017
-1.045,-9.945,0.3935666296470795
-1.045,9.945,0.36924904360192273
0.0,0.0,0.37466672342784524
3.09,-9.511,0.3883752528007563
3.09,9.511,0.36157006051332424
6.18,-19.021,0.38799800268796186
6.18,19.021,0.3896312039215479
6.691,-7.431,0.3890305788552091
6.691,7.431,0.38275304138323973
9.135,-4.067,0.37587785365252535
9.135,4.067,0.3852143503919171
9.271,-28.532,0.38545817487517214
9.271,28.532,0.38102372324880607
10.0,0.0,0.3654447398027318
12.361,-38.042,0.3730933327054706
12.361,38.042,0.4039558921841682
13.383,-14.863,0.36307082923063083
13.383,14.863,0.3872249285268562
18.271,-8.135,0.3784622742886946
18.271,8.135,0.3797781851052691
20.0,0.0,0.390601640311722
20.074,-22.294,0.3846198005769138
20.074,22.294,0.3935716502934032
26.765,-29.726,0.3703375168247888
26.765,29.726,0.38113715915327917
27.406,-12.202,0.39581369341817485
27.406,12.202,0.3975344143080641
30.0,0.0,0.3953621149943797
36.542,-16.269,0.39830869648216194
36.542,16.269,0.4182070739918241
40.0,0.0,0.40358216078869247
